---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-60  C 2C205  -----00  -----00  C 3FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
00-61  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-62  C#2C205  OFF1-01  C 5BF05  C#3F-1A  -----00  -----00  -----00  C 5F004  C 5F004  -----  10FLUTE4--
00-63  -----00  ---B-1B  -----00  -----00  -----00  -----00  -----00  ---F116  -----00  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  D 2C205  D 45A2D  D 5BF05  D 2FE04  D 5F104  F#5F104  A 5F104  D 5F13C  D 5F004  F---D  00--------
01-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-02  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
01-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-04  D 2C205  -----00  F#5BF05  D 2FE04  -----00  -----00  -----00  F#5F13C  F#5F004  ----D  00--------
01-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-06  D 2C205  -----00  C 5BF05  D 2FE04  -----00  -----00  -----00  C 5F13C  C 5F004  F----  00--------
01-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-08  -----4D  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
01-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-10  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-12  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
01-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-14  D 2C205  -----00  D 5BF05  D 2FE04  -----00  -----00  -----00  D 5F13C  D 5F004  F----  00--------
01-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-16  D 3C205  D 55A2D  G 5BF05  D 3FE04  D 6F104  F#6F104  A 6F104  G 5F13C  G 5F004  F---D  00--------
01-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-18  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
01-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-20  D 3C205  -----00  F#5BF05  D 3FE04  -----00  -----00  -----00  F#5F13C  F#5F004  ----D  00--------
01-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-22  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  F----  00--------
01-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-24  -----4D  -----00  E 5BF05  D 3FE04  -----00  -----00  -----00  E 5F13C  E 5F004  -FF-D  00--------
01-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-26  D 3C205  -----00  D 5BF05  D 3FE04  -----00  -----00  -----00  D 5F13C  D 5F004  -----  00--------
01-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-28  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
01-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-30  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-32  A 2C205  A 4482D  C 5BF05  A 2FE04  A 5F104  C 6F104  E 6F104  C 5F13C  C 5F004  F---D  00--------
01-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-34  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
01-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-36  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
01-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-38  A 2C205  -----00  A 4BF05  A 2FE04  -----00  -----00  -----00  A 4F13C  A 4F004  F----  00--------
01-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-40  -----4D  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
01-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-42  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-44  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
01-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-46  A 2C205  -----00  G 4BF05  A 2FE04  -----00  -----00  -----00  G 4F13C  G 4F004  F----  00--------
01-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-48  G 2C205  G 46A2D  A 4BF05  G 2FE04  G 5F104  B 5F104  D 6F104  A 4F13C  A 4F004  F---D  00--------
01-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-50  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
01-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-52  G 2C205  -----00  B 4BF05  G 2FE04  -----00  -----00  -----00  B 4F13C  B 4F004  F---D  00--------
01-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-54  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  F----  00--------
01-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-56  -----4D  -----00  C 5BF05  G 2FE04  -----00  -----00  -----00  C 5F13C  C 5F004  -FF-D  00--------
01-57  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-58  G 2C205  -----00  B 4BF05  G 2FE04  -----00  -----00  -----00  B 4F13C  B 4F004  -----  00--------
01-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-60  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
01-61  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-62  G 2C205  -----00  C 5BF05  G 2FE04  -----00  -----00  -----00  C 5F13C  C 5F004  -----  00--------
