---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : B (all channels)
Init with Instrument : 4 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-58  C 4E44C  -----00  A 3C80A  -----00  -----00  -----00  -----00  E 4F00C  A 4F00C  FFF-A  00--------
00-59  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-C  00--------
00-60  C 4E44C  -----00  -----00  ---F10B  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
00-61  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-C  00--------
00-62  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
00-63  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-C  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  A 2C205  A 4482F  E 5802E  A 2FF04  A 4F104  C 5F104  E 5F104  E 6F004  A 6F004  F---A  03BCALIOPE
01-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
01-02  A 2C205  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  F---A  00--------
01-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
01-04  C 4E44C  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
01-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
01-06  C 3C205  -----00  -----00  C 3FF04  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
01-08  A 2C205  A 4482F  E 5802E  A 2FF04  -----00  -----00  -----00  E 6F004  A 6F004  F---A  00--------
01-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
01-10  A 2C205  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  F---A  00--------
01-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
