---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-51  -----00  G 4C005  E 4C005  -----00  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-52  E 2C205  G 4C205  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-53  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-54  E 2C205  G 4C205  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-56  E 2C205  G 4C005  E 4C005  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-57  E 3C205  G 4C205  E 4C005  E 3FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-58  ---DB49  E 2C205  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  FFF--  00--------
00-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-60  ---DB49  E 2C205  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  FFF--  00--------
00-61  ---DB49  E 3C205  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  FFF--  00--------
00-62  ---DB49  E 2C205  F 4C205  E 2FF04  -----00  -----00  -----00  G#6D004  F 6D004  FFF--  00--------
00-63  -----00  ---B-1B  F#4C205  -----00  -----00  -----00  -----00  A 6D004  F#6D004  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  G 2C205  G 56A2F  G 4C205  G 2FF04  G 5F104  B 5F104  D 6F104  B 6D004  G 6D004  F---D  00--------
01-01  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-02  G 2C205  -----00  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  ----D  00--------
01-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-04  ---DB49  -----00  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -FF-D  00--------
01-05  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-06  G 2C205  G 56A2F  G 4C005  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  ---FD  00--------
01-07  -----00  -----00  G 4C005  -----00  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
01-08  G 2C205  G 56A2F  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  F--FD  00--------
01-09  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-10  G 2C205  -----00  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  ---FD  00--------
01-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-12  ---DB49  -----00  F#4C205  G 2FF04  -----00  -----00  -----00  A#6D004  F#6D004  -FFFD  00--------
01-13  G 3C205  -----00  F 4C205  G 3FF04  -----00  -----00  -----00  A 6D004  F 6D004  -----  00--------
01-14  G 2C205  G 56A2F  E 4C205  G 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  ----D  00--------
01-15  -----00  -----00  D#4C205  -----00  -----00  -----00  -----00  F 6D004  D#6D004  -----  00--------
01-16  D 2C205  D 55A2F  D 4C205  D 2FF04  D 5F104  F#5F104  A 5F104  F#6D004  D 6D004  F---D  00--------
01-17  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-18  D 2C205  -----00  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  ----D  00--------
01-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-20  ---DB49  -----00  D 4C005  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -FF-D  00--------
01-21  D 3C205  -----00  D 4C205  D 3FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
01-22  D 2C205  D 55A2F  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
