---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-56  E 2C205  E 44A2E  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  ----9  00--------
00-57  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-58  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
00-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-60  E 2C205  E 44A2E  C#5BF05  E 2FF04  -----00  -----00  -----00  -----00  C#5F004  ----9  00--------
00-61  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-62  E 3C205  E 44A2E  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
00-63  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  G 2C205  G 46A2E  D 5BF05  G 2FF04  G 4F104  B 4F104  D 5F104  -----00  D 5F004  F---9  00--------
01-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-02  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-04  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  ----F06  F---9  00--------
